code,name
BK,Blocked
BL,Blowout
BN,Burned
BO,Burned Out
BR,Broken/Split
BT,Bent
BU,Bulged
BW,Bowed
CB,Tyre Unusable from curbing
CD,Consequential Damage
CH,Corroded/Holed
CK,Cracked
CL,Compression Line
CO,Corroded/Rusty
CT,Contaminated
CU,Cut
CW,Cracked Weld
DB,Debris/dunnage
DH,Dented and Holed
DL,Delaminated
DT,Dented
DY,Dirty
FD,Forklift Damage
FL,Floor Refurbishment Program
FP,Flat/puncture
FQ,Food Quality
FS,Flat Spots
FZ,Frozen
GD,Gouged
GO,GRP Surface Crack
GP,GRP Surface Crack
HO,Holed
IC,Improper Cleaniing
IE,Inadequate Electrical Resistance 
IN,New Improper Repair
IO,Old Improper Repair
IP,Imploded
IR,Improper Repair
LF,Low Fluid Level
LK,Leak
LO,Loose
MA,Misaligned
ME,Existing Manufacturing Defect
MF,Motor Failure
ML,Markings/Labels
MM,Mismatched
MN,New Manufacturing Defect
MS,Missing/Lost
NI,Not Within ISO Dimensions
NL,Nails
NO,Not as required by owner
NP,Not in Place
NT,Foreign fittings not to TIR requirements
NV,Not as required by user
OC,Out of Calibration
OD,Out of Date
OE,Operator failure
OF,Off -Hire
OH,Overheating
OI,Over-Inflated
OL,Oil Saturated
OO,Overhead Obstruction
OR,Odour
OS,Oil Stains
OU,Other unacceptable repairs
PD,Pushed Down
PF,Paint Failure
PH,Pin Holes
PI,Pushed In
PM,Preventative Maintenance
PO,Pushed Out
PS,Pitted Surface
PU,Pushed Up
RA,Remove For Access
RC,Conversion Required
RD,Rollover Damage
RF,Run Flat
RN,Repair Necessary
RO,Rotted
RP,Refurbishment Program
RR,Floor Reburb Program
RT,Rotten
RV,Refurbishment Program
SA,Scratched
SD,Stretched
SH,Short/Open Circuit
SI,Short Pre-Trip Inspection
SP,Separated
SR,Shrunk
ST,Saturated/Wet
SW,Switched
TR,Test Required
TS,Tyre Damage from Tread Separation
TU,Uneven Tread
UG,Upgrade 
UI,Tyre under-inflated
WA,Warped
WB,Bald Tyre
WH,Wet Hides
WM,Wrong Material
WN,Worn
WT,Wear and Tear
WV,Weathered 
ZZ,Not Applicable
CBE,Circuit Breaker 8 Amps #
CBF,Circuit Breaker - CB4
CBH,Circuit Breaker Heat Shield
CBM,Circuit Breaker Bracket/Mount
CBR,Circuit Breaker - CB1 / Circuit Breaker 20 Amp
CBT,Circuit Breaker - CB3
CBV,Circuit Breaker 5
CBW,Circuit Creaker #6 -- (3.0 Amp C.B.)
CCB,Condenser Coil Mounting Bracket
CCH,Condenser Door Hinge - Middle #
CCK,MPA Chip Kit
CCL,Cable Clamp
CCO,Cable Cover - Swing Down Cover
CDA,Condenser Deck Assembly
CDF,Condenser Grill Fixing / Screws
CDH,Condenser Door Hinge
CDI,Condenser Door Panel Hinge
CDN,Condenser Grill Screw Receptacles
CDP,Condenser Door Panel
CDR,Carbon Dioxide Scrubber
CDS,Carbon Dioxide Sensor
CDV,Air Baffle / Venturi Condenser
CDY,Carbon Dioxide Supply
CEX,Container - Exterior
CFB,Top Casting Filler Plate #
CFG,Corner Fitting
CFI,Coil Fins
CFK,Coil Fins - Condenser #
CFP,Condenser Front Plate
CFV,Coil Fins - Evaporator  #
CGD,"Guard , condenser oil"
CHB,"Battery /Charger, back up"
CHL,Lower Genset Mounting Hole
CHP,"HP Cutout, Compressor"
CHR,Defrosting/Heating Resistors Contactor
CHU,Upper Genset Mounting Hole
CID,Container Identification Device 
CIN,Container - Interior
CKA,Condenser Fan Motor Contactor
CKH,Cond. Fan Motor High-Speed Contactor
CKL,Cond. Fan Motor Low-speed Contactor
CKP,Controller Key PAd
CLH,Condenser Door Hinge - LH #
CLO,"Oil Cutout, Compressor"
CLP,"LP Cutout, Compressor"
CMA,Cross Member Assembly
CMB,Crossmember Assembly - Aluminium
CMC,CMC Contactor
CME,Contactor Mounting Rail End Clamp
CMF,Cross Member Fixing Plate
CMH,Condenser Fan Housing
CMI,"Regulation, Others"
CMK,CMS Controller
CML,Cross Member Lower Flange
CMM,Cond Fan Motor Mount
CMN,Communication Module
CMO,Outrigger
CMR,Contactor Mounting Rail
CMS,Cross Member Whole Section
CMU,Cross Member Upper Flange
CMV,Condenser Fan Venturi
CMW,Cross Member Web
CMX,Crossmember Assembly - Aluminium 
COB,Collector Brush
COL,Collector
CON,Terminals/Electrical Connections
COO,CO2 Sampling Plug
COP,Contactor Panel
COS,Clip-on Genset Clamp Socket
